Year,Team,Batting_R/G,Batting_G,Pitching_W,Pitching_L,Pitching_W-L%,Batting_BA,Batting_OBP,Batting_SLG,Batting_OPS,Pitching_ERA,Pitching_RA9,Pitching_WHIP,FIP,Batting_BatAge,Batting_PA,Batting_AB,Batting_R,Batting_H,Batting_2B,Batting_3B,Batting_HR,Batting_RBI,Batting_SB,Batting_CS,Batting_BB,Batting_SO,Batting_TB,Batting_HBP,Batting_SH,Batting_SF,Pitching_PAge,Pitching_R/G,Pitching_G,Pitching_GS,Pitching_GF,Pitching_CG,Pitching_SV,Pitching_IP,Pitching_H,Pitching_R,Pitching_ER,Pitching_HR,Pitching_BB,Pitching_SO,Pitching_H9,Pitching_HR9,Pitching_BB9,Pitching_SO9,Pitching_SO/W,Pitching_IP_decimal
2025,Evansville Otters,5.25,96,40,56,0.417,0.26,0.344,0.409,0.753,5.66,6.36,1.568,4.82,24.6,3713,3211,504,836,157,13,98,465,103,25,354,807,1313,76,37,35,25.2,6.09,96,96,95,1,19,827.1,923,585,520,87,374,840,10,0.9,4.1,9.1,2.25,827.3333333333334
2025,Florence Y'Alls,6.07,96,43,52,0.453,0.277,0.371,0.435,0.805,5.48,6.6,1.588,5.395,24.7,3817,3255,583,902,169,10,108,534,131,31,412,820,1415,94,19,37,24.6,6.28,96,96,93,3,19,822.2,926,603,501,94,380,620,10.1,1,4.2,6.8,1.63,822.6666666666666
2025,Gateway Grizzlies,6.26,96,56,39,0.589,0.282,0.369,0.425,0.794,4.51,5.23,1.464,5.009,25.5,3767,3225,601,908,152,7,99,548,135,45,377,602,1371,95,27,43,26.3,5.08,96,96,93,3,24,839.2,830,488,421,91,399,762,8.9,1,4.3,8.2,1.91,839.6666666666666
2025,Joliet Slammers,4.52,96,44,52,0.458,0.253,0.344,0.341,0.685,4.61,5.28,1.362,5.019,25.8,3659,3155,434,797,132,19,36,381,104,30,388,687,1075,65,24,27,25.7,5,96,96,92,4,20,818,806,480,419,93,308,666,8.9,1,3.4,7.3,2.16,818
2025,Lake Erie Crushers,5.27,94,52,42,0.553,0.262,0.358,0.395,0.753,3.96,4.7,1.352,4.602,25.8,3729,3176,495,833,154,13,80,433,111,31,413,727,1253,82,21,37,26.8,4.59,94,94,92,2,23,825,726,431,363,60,389,775,7.9,0.7,4.2,8.5,1.99,825
2025,Mississippi Mud Monsters,4.99,96,49,47,0.51,0.261,0.349,0.359,0.708,4.67,5.72,1.549,4.648,24.6,3609,3122,479,814,130,15,49,410,178,52,349,600,1121,89,19,30,25.2,5.44,96,96,91,5,30,821,836,522,426,54,436,761,9.2,0.6,4.8,8.3,1.75,821
2025,New Jersey Jackals,4.26,93,28,64,0.304,0.24,0.332,0.352,0.684,6.07,7.01,1.612,5.852,25.1,3378,2915,396,701,115,6,66,351,124,46,338,763,1026,70,33,22,25.3,6.48,93,93,88,5,10,773.2,831,603,522,105,416,625,9.7,1.2,4.8,7.3,1.5,773.6666666666666
2025,New York Boulders,6.33,95,52,43,0.547,0.284,0.381,0.424,0.805,5.28,6.1,1.59,5.137,25.9,3759,3190,601,907,181,10,82,550,165,32,417,665,1354,103,13,36,25,5.8,95,95,90,5,20,813,893,551,477,80,400,691,9.9,0.9,4.4,7.6,1.73,813
2025,Ottawa Titans,5.34,96,51,45,0.531,0.259,0.36,0.374,0.734,5.32,5.81,1.572,4.671,25.5,3767,3187,513,824,162,11,61,456,93,25,401,684,1191,125,21,33,26.2,5.57,96,96,94,2,26,829.1,924,535,490,55,380,688,10,0.6,4.1,7.5,1.81,829.3333333333334
2025,Schaumburg Boomers,7.15,96,57,38,0.6,0.284,0.387,0.458,0.845,5.42,6.21,1.56,4.802,25.5,3907,3280,686,931,186,19,116,631,107,12,493,735,1503,75,33,26,25.8,5.92,96,95,91,4,19,823,904,568,496,71,380,741,9.9,0.8,4.2,8.1,1.95,823
2025,Sussex County Miners,6.05,96,53,42,0.558,0.284,0.38,0.415,0.795,4.4,5.16,1.409,4.917,24.5,3787,3178,581,904,152,31,67,515,139,38,411,701,1319,106,47,45,25.5,4.95,96,96,92,4,19,828.1,834,475,405,89,333,704,9.1,1,3.6,7.6,2.11,828.3333333333334
2025,Tri-City Valley Cats,6.17,96,62,33,0.653,0.284,0.376,0.429,0.805,4.11,4.53,1.371,5.096,25.2,3742,3161,592,897,169,21,83,537,142,43,410,620,1357,83,41,47,24.4,4.32,96,96,90,6,23,824.2,793,415,377,83,338,610,8.7,0.9,3.7,6.7,1.8,824.6666666666666
2025,Washington WildThings,5.7,96,54,42,0.563,0.273,0.366,0.411,0.777,4.55,5.03,1.394,5.052,25.3,3761,3208,547,877,170,15,81,506,82,46,416,710,1320,68,41,28,25.1,4.86,96,96,93,3,24,836.1,810,467,423,90,356,681,8.7,1,3.8,7.3,1.91,836.3333333333334
2025,Windy City ThunderBolts,4.28,96,36,60,0.375,0.241,0.319,0.357,0.676,5.19,5.98,1.588,5.266,25.1,3580,3155,411,759,135,18,65,381,170,48,295,822,1125,85,14,31,24.7,5.7,96,96,91,5,22,823,846,547,475,80,461,715,9.3,0.9,5,7.8,1.55,823
